2025-04-28 12:00:55,477 | MainThread   | [INFO    ] | notification_handler|: Data Notification Received...processing
2025-04-28 12:00:55,478 | MainThread   | [INFO    ] | notification_handler|: Data Notification Received...processing
2025-04-28 12:00:55,479 | MainThread   | [INFO    ] | notification_handler|: Data Notification Received...processing
2025-04-28 12:00:55,508 | MainThread   | [INFO    ] | notification_handler|: Data Notification Received...processing
2025-04-28 12:00:55,510 | MainThread   | [INFO    ] | notification_handler|: Data Notification Received...processing
2025-04-28 12:00:55,511 | MainThread   | [INFO    ] | notification_handler|: Data Notification Received...processing
2025-04-28 12:00:55,538 | MainThread   | [INFO    ] | notification_handler|: Data Notification Received...processing
2025-04-28 12:00:55,540 | MainThread   | [INFO    ] | notification_handler|: Data Notification Received...processing
2025-04-28 12:00:55,567 | MainThread   | [INFO    ] | notification_handler|: Data Notification Received...processing
2025-04-28 12:00:55,568 | MainThread   | [INFO    ] | notification_handler|: Data Notification Received...processing
2025-04-28 12:00:55,597 | MainThread   | [INFO    ] | notification_handler|: Data Notification Received...processing
2025-04-28 12:00:55,598 | MainThread   | [INFO    ] | notification_handler|: Data Notification Received...processing
2025-04-28 12:00:55,599 | MainThread   | [INFO    ] | notification_handler|: Data Notification Received...processing
2025-04-28 12:01:00,387 | MainThread   | [INFO    ] | perform_observation_loop|: Finished receiving data.
2025-04-28 12:01:00,388 | MainThread   | [INFO    ] | perform_observation_loop|: [[543064.0, 0.0, 0, 450.0], [544294.0, 17.0, 0, 421.0], [544743.0, 37.0, 0, 472.0], [545340.0, 57.0, 0, 586.0], [547789.0, 77.0, 0, 868.0], [549158.0, 97.0, 0, 1966.0], [551669.0, 117.0, 0, 750.0], [552749.0, 137.0, 0, 802.0], [554472.0, 157.0, 0, 2140.0], [555732.0, 177.0, 0, 3145.0], [556584.0, 197.0, 0, 1634.0], [557165.0, 217.0, 0, 1312.0], [557615.0, 237.0, 0, 572.0], [558285.0, 257.0, 0, 406.0], [560509.0, 277.0, 0, 322.0], [562043.0, 297.0, 0, 326.0], [563287.0, 317.0, 0, 394.0], [563769.0, 338.0, 0, 549.0]]
2025-04-28 12:11:23,562 | MainThread   | [INFO    ] | perform_observation_loop|: Performing Observation Loop
2025-04-28 12:11:41,565 | MainThread   | [INFO    ] | notification_handler|: Done Notification Received
2025-04-28 12:11:41,582 | MainThread   | [INFO    ] | perform_observation_loop|: Collecting Data
2025-04-28 12:11:41,656 | MainThread   | [INFO    ] | notification_handler|: Data Notification Received...processing
2025-04-28 12:11:41,656 | MainThread   | [INFO    ] | notification_handler|: Data Notification Received...processing
2025-04-28 12:11:41,684 | MainThread   | [INFO    ] | notification_handler|: Data Notification Received...processing
2025-04-28 12:11:41,685 | MainThread   | [INFO    ] | notification_handler|: Data Notification Received...processing
2025-04-28 12:11:41,686 | MainThread   | [INFO    ] | notification_handler|: Data Notification Received...processing
2025-04-28 12:11:41,687 | MainThread   | [INFO    ] | notification_handler|: Data Notification Received...processing
2025-04-28 12:11:41,716 | MainThread   | [INFO    ] | notification_handler|: Data Notification Received...processing
2025-04-28 12:11:41,746 | MainThread   | [INFO    ] | notification_handler|: Data Notification Received...processing
2025-04-28 12:11:41,747 | MainThread   | [INFO    ] | notification_handler|: Data Notification Received...processing
2025-04-28 12:11:41,775 | MainThread   | [INFO    ] | notification_handler|: Data Notification Received...processing
2025-04-28 12:11:41,776 | MainThread   | [INFO    ] | notification_handler|: Data Notification Received...processing
2025-04-28 12:11:41,776 | MainThread   | [INFO    ] | notification_handler|: Data Notification Received...processing
2025-04-28 12:11:41,803 | MainThread   | [INFO    ] | notification_handler|: Data Notification Received...processing
2025-04-28 12:11:41,804 | MainThread   | [INFO    ] | notification_handler|: Data Notification Received...processing
2025-04-28 12:11:41,835 | MainThread   | [INFO    ] | notification_handler|: Data Notification Received...processing
2025-04-28 12:11:41,836 | MainThread   | [INFO    ] | notification_handler|: Data Notification Received...processing
2025-04-28 12:11:41,836 | MainThread   | [INFO    ] | notification_handler|: Data Notification Received...processing
2025-04-28 12:11:41,866 | MainThread   | [INFO    ] | notification_handler|: Data Notification Received...processing
2025-04-28 12:11:46,627 | MainThread   | [INFO    ] | perform_observation_loop|: Finished receiving data.
