2025-05-14 00:18:43,385 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:04:26:a3:64
2025-05-14 00:18:46,511 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:04:26:a3:64
2025-05-14 00:21:12,457 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from A1C0DD95-B611-6CFA-AF80-6BCF50487F59
2025-05-14 13:07:50,085 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:04:26:a3:64
2025-05-14 13:07:53,049 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:04:26:a3:64
2025-05-14 13:08:13,321 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from A1C0DD95-B611-6CFA-AF80-6BCF50487F59
2025-05-14 13:08:30,367 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:04:26:a3:64
2025-05-14 13:08:34,060 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:04:26:a3:64
2025-05-14 13:09:59,402 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from A1C0DD95-B611-6CFA-AF80-6BCF50487F59
2025-05-14 13:14:58,972 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:04:26:a3:64
2025-05-14 13:15:05,961 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:04:26:a3:64
2025-05-14 13:15:19,548 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from A1C0DD95-B611-6CFA-AF80-6BCF50487F59
2025-05-14 13:17:48,298 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:04:26:a3:64
2025-05-14 13:17:51,685 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:04:26:a3:64
2025-05-14 13:18:09,373 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from A1C0DD95-B611-6CFA-AF80-6BCF50487F59
2025-05-14 13:20:21,873 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:04:26:a3:64
2025-05-14 13:20:24,960 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:04:26:a3:64
2025-05-14 13:21:35,841 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from A1C0DD95-B611-6CFA-AF80-6BCF50487F59
2025-05-14 13:22:32,024 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:04:26:a3:64
